"date","owned_tweets_about_games","owned_retweets_about_games","owned_favorites_about_games","owned_replies_about_games","owned_tweets_total","owned_retweets_total","owned_favorites_total","owned_replies_total","paid_volume","paid_retweets","paid_favorites","paid_replies","negative_comments","neutral_comments","positive_comments","ups_comments","mean_sentiment_comments","earned_volume_comments","news_volume","earnings","press_release_volume","trailer","launch","teaser","convention","expansions_dlc","week","year","EAprice","EAtrading_volume","launch_period","positive_pct","negative_pct"
2017-09-25,5,670,4183,609,43,2337,12637,1015,1,0,0,0,11,11,38,64,0.286831666666667,60,3,0,0,0,0,0,0,0,39,2017,114.199997,4113100,"During Launch",0.633333333333333,0.183333333333333
2017-09-26,8,4866,17825,1103,66,10081,30647,2033,0,0,0,0,61,80,132,1130,0.174983882783883,273,0,0,0,1,0,0,0,0,39,2017,113.919998,2994400,"During Launch",0.483516483516484,0.223443223443223
2017-09-27,9,3438,17139,1349,27,7840,38210,2420,0,0,0,0,68,70,159,773,0.193781071428571,280,1,0,0,0,0,0,0,0,39,2017,115.970001,1793200,"During Launch",0.567857142857143,0.242857142857143
2017-09-28,15,9152,35901,3765,45,11167,44864,4155,0,0,0,0,24,48,78,346,0.231906015037594,133,4,0,0,0,0,0,0,0,39,2017,116.610001,1395600,"During Launch",0.586466165413534,0.180451127819549
2017-09-29,17,2825,15549,718,45,4987,25301,1331,0,0,0,0,61,63,135,809,0.218309266409266,259,4,0,1,0,1,0,0,0,39,2017,118.059998,1743500,"During Launch",0.521235521235521,0.235521235521236
2017-09-30,13,5543,20848,873,28,5886,23129,1051,1,2,14,0,159,180,260,6709,0.114237774030354,593,0,0,0,0,0,0,0,0,39,2017,NA,NA,"Post-Launch",0.438448566610455,0.268128161888702
2017-10-01,11,4642,6992,544,24,4753,7742,668,0,0,0,0,273,137,482,10232,0.167708856502242,892,2,0,0,0,0,0,0,0,40,2017,NA,NA,"Post-Launch",0.540358744394619,0.306053811659193
2017-10-02,7,2942,9146,818,17,4442,16095,1071,0,0,0,0,89,60,259,1175,0.2847425,400,5,0,0,0,0,0,0,0,40,2017,117.949997,1850700,"Post-Launch",0.6475,0.2225
2017-10-03,7,10596,14182,884,19,11070,16257,1025,1,241,1146,59,71,78,154,797,0.156649494949495,297,0,0,0,0,0,0,0,0,40,2017,117.959999,1249700,"Post-Launch",0.518518518518518,0.239057239057239
2017-10-04,13,3870,16629,1580,33,5291,25693,2443,1,271,1347,30,43,42,69,313,0.0995896103896104,154,5,0,0,0,0,0,0,0,40,2017,118.559998,1642400,"Post-Launch",0.448051948051948,0.279220779220779
