"","date","owned_tweets_about_games","owned_retweets_about_games","owned_favorites_about_games","owned_replies_about_games","owned_tweets_total","owned_retweets_total","owned_favorites_total","owned_replies_total","paid_volume","paid_retweets","paid_favorites","paid_replies","negative_comments","neutral_comments","positive_comments","ups_comments","mean_sentiment_comments","earned_volume_comments","news_volume","earnings","press_release_volume","trailer","launch","teaser","convention","expansions_dlc","week","year","EAprice","EAtrading_volume"
"87",2017-03-28,0,0,0,0,44,1323,5650,832,0,0,0,0,700,535,1260,12496,0.152297635270541,2495,1,0,0,0,0,0,0,0,13,2017,89.739998,2083900
"88",2017-03-29,2,5648,10799,898,59,14164,27050,2150,0,0,0,0,231,144,348,1915,0.129372614107884,723,0,0,0,0,0,0,0,0,13,2017,89.779999,1771200
"89",2017-03-30,4,2105,7678,1205,60,6338,19139,1998,0,0,0,0,842,472,1093,19039,0.0621526796842543,2407,1,0,0,0,0,0,0,0,13,2017,90.260002,2073700
"90",2017-03-31,1,116,913,203,67,6464,23525,2841,0,0,0,0,243,127,377,1326,0.134470013386881,747,1,0,0,0,0,0,0,0,13,2017,89.519997,1737700
"91",2017-04-01,0,0,0,0,47,2235,10899,1442,0,0,0,0,208,127,342,11031,0.13374682422452,677,0,0,0,0,0,0,0,0,13,2017,NA,NA
"92",2017-04-02,0,0,0,0,16,1109,5437,398,0,0,0,0,352,170,414,5402,0.0599344017094017,936,0,0,0,0,0,0,0,0,14,2017,NA,NA
"93",2017-04-03,0,0,0,0,50,879,4469,980,0,0,0,0,715,456,968,23537,0.0794136044880785,2139,0,0,0,0,0,0,0,0,14,2017,89.110001,1522300
"94",2017-04-04,1,749,2119,101,62,5776,9852,1122,0,0,0,0,353,221,535,3480,0.123483588818756,1109,1,0,0,0,0,0,0,0,14,2017,89.279999,1870400
"95",2017-04-05,2,203,1043,136,59,4590,18419,3262,0,0,0,0,1467,922,2192,79443,0.112464527395765,4581,4,0,0,0,0,0,0,0,14,2017,88.400002,2673500
"96",2017-04-06,1,0,3,3,84,2332,10522,1409,1,5,44,3,517,325,754,11129,0.103759147869674,1596,1,0,0,0,0,0,0,0,14,2017,88.559998,1319600
